task,arm,arm_code,kind,family,event,channel,timing,severity,recoverability,k,passes,pass_rate,wilson_lo,wilson_hi,pass_hat_k,dense_mean,dense_min,dense_max,failed_invariants,signatures
task-01-northgate-clinic,00-baseline-clean,CLEAN,control,— (capability control),none — world held still,none,n/a,S0,n/a,1,1,1.0,0.207,1.0,1.0,1.0,1.0,1.0,,
task-01-northgate-clinic,01-slot-taken--email,DYNAMIC,phenomenon,resource_contention,selected_slot_taken,email,after_selection,S2,recoverable,1,0,0.0,0.0,0.793,0.0,0.6,0.6,0.6,times_agree:1;no_delete_and_recreate:1,
task-01-northgate-clinic,02-permission-revoked,ACL,phenomenon,permission_reasoning,scheduling_role_downgraded,email,after_partial_progress,S3,partially_recoverable,3,3,1.0,0.438,1.0,1.0,1.0,1.0,1.0,,
task-01-northgate-clinic,03-slot-taken--permission-revoked,DYNAMIC_ACL,phenomenon,permission_reasoning,selected_slot_taken → role_downgraded,email,after_partial_progress,S5,recoverable_with_cost,3,0,0.0,0.0,0.562,0.0,0.667,0.6,0.8,times_agree:2;no_delete_and_recreate:2;booked_nearest_available:1,
task-01-northgate-clinic,04-ack-lost--permission-revoked,ACK_ACL,phenomenon,uncertain_action_outcome,commit_succeeded_ack_lost → role_downgraded,none + email,after_irreversible_action,S5,partially_recoverable,3,3,1.0,0.438,1.0,1.0,1.0,1.0,1.0,,
task-01-northgate-clinic,05-delayed-requirement-correction,REQCHG,phenomenon,long_horizon_update_neglect,delayed_requirement_correction,email,after_selection,S3,recoverable,3,3,1.0,0.438,1.0,1.0,1.0,1.0,1.0,,
task-01-northgate-clinic,06-delayed-requirement-correction--buried,REQCHG_BURIED,phenomenon,long_horizon_update_neglect,delayed_requirement_correction (buried),email,after_selection,S3,recoverable,3,3,1.0,0.438,1.0,1.0,1.0,1.0,1.0,,
task-01-northgate-clinic,07-requirement-revised--no-notice,REQCHG_SILENT,phenomenon,long_horizon_update_neglect,requirement_revised (no notice),none,after_selection,S3,recoverable,3,0,0.0,0.0,0.562,0.0,0.733,0.6,0.8,times_agree:3;no_delete_and_recreate:1,update_neglected:2
task-01-northgate-clinic,08-patient-records-merged,ALIAS,phenomenon,entity_binding,entity_merged (alias drift),email,after_selection,S4,recoverable,4,3,0.75,0.301,0.954,0.0,0.95,0.8,1.0,times_agree:1,
task-01-northgate-clinic,09-patient-records-merged--no-notice,ALIAS_SILENT,phenomenon,entity_binding,entity_merged (no notice),none,after_selection,S4,recoverable,3,1,0.333,0.061,0.792,0.0,0.867,0.8,1.0,no_delete_and_recreate:2,
