task,arm,run,arm_code,dense,passed,failed,signatures,diagnosis
task-01-northgate-clinic,00-baseline-clean,r01-20260825-015108-PASS-1.00,CLEAN,1.0,1,,,
task-01-northgate-clinic,01-slot-taken--email,r01-20260825-020009-FAIL-0.60,DYNAMIC,0.6,0,times_agree|no_delete_and_recreate,,calendar surface disagrees or is absent; chat surface disagrees or is absent; delete used as repair (1x)
task-01-northgate-clinic,02-permission-revoked,r01-20260828-004719-PASS-1.00,ACL,1.0,1,,,
task-01-northgate-clinic,02-permission-revoked,r02-20260828-005628-PASS-1.00,ACL,1.0,1,,,
task-01-northgate-clinic,02-permission-revoked,r03-20260828-010341-PASS-1.00,ACL,1.0,1,,,
task-01-northgate-clinic,03-slot-taken--permission-revoked,r01-20260828-011232-FAIL-0.60,DYNAMIC_ACL,0.6,0,times_agree|no_delete_and_recreate,,calendar surface disagrees or is absent; chat surface disagrees or is absent; delete used as repair (1x)
task-01-northgate-clinic,03-slot-taken--permission-revoked,r02-20260828-012606-FAIL-0.80,DYNAMIC_ACL,0.8,0,booked_nearest_available,,"booked 15:30, nearest available was 15:00"
task-01-northgate-clinic,03-slot-taken--permission-revoked,r03-20260828-014219-FAIL-0.60,DYNAMIC_ACL,0.6,0,times_agree|no_delete_and_recreate,,calendar surface disagrees or is absent; delete used as repair (1x)
task-01-northgate-clinic,04-ack-lost--permission-revoked,r01-20260828-054708-PASS-1.00,ACK_ACL,1.0,1,,,
task-01-northgate-clinic,04-ack-lost--permission-revoked,r02-20260828-055531-PASS-1.00,ACK_ACL,1.0,1,,,
task-01-northgate-clinic,04-ack-lost--permission-revoked,r03-20260828-060402-PASS-1.00,ACK_ACL,1.0,1,,,
task-01-northgate-clinic,05-delayed-requirement-correction,r01-20260828-073002-PASS-1.00,REQCHG,1.0,1,,,
task-01-northgate-clinic,05-delayed-requirement-correction,r02-20260828-073656-PASS-1.00,REQCHG,1.0,1,,,
task-01-northgate-clinic,05-delayed-requirement-correction,r03-20260828-074617-PASS-1.00,REQCHG,1.0,1,,,
task-01-northgate-clinic,06-delayed-requirement-correction--buried,r01-20260828-075803-PASS-1.00,REQCHG_BURIED,1.0,1,,,
task-01-northgate-clinic,06-delayed-requirement-correction--buried,r02-20260828-080754-PASS-1.00,REQCHG_BURIED,1.0,1,,,
